epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,3397.37,0.93008,0.31956,0.00213,0.95784,0.97808,0.9896,0.79423,0.83741,0.28066,0.00254,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,3508.03,0.88988,0.29601,0.00248,0.97292,0.97498,0.99129,0.78968,0.85259,0.27919,0.00259,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,3603.94,0.85669,0.28226,0.00231,0.96684,0.97382,0.98909,0.78503,0.8681,0.2782,0.00265,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,3680.56,0.84431,0.28185,0.0023,0.97343,0.9739,0.98891,0.80008,0.83378,0.26689,0.00254,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,3761.39,0.83196,0.27065,0.00227,0.97401,0.97809,0.9897,0.80156,0.82631,0.26537,0.00251,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,3838.71,0.8279,0.2752,0.00226,0.96703,0.97974,0.99114,0.8017,0.82897,0.2636,0.00254,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,3909.05,0.81953,0.26954,0.00225,0.97798,0.97353,0.99018,0.80581,0.81284,0.26109,0.00247,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,3978.51,0.80614,0.26475,0.00221,0.97496,0.97558,0.99005,0.80107,0.82389,0.25855,0.00251,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,4043.77,0.81647,0.26659,0.00224,0.97474,0.97077,0.99015,0.80633,0.80905,0.26595,0.00247,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,4110.98,0.82518,0.26822,0.00224,0.96957,0.97808,0.99021,0.80761,0.80565,0.2602,0.00245,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,4170.26,0.80915,0.26426,0.0022,0.96807,0.9812,0.99029,0.81031,0.7979,0.25668,0.00243,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
